Title,Price,Score
Ventilador Kanji 18 1.7m 3 En 1 Con 3 Palas De Metal 90w,"Calificación 4.5 de 5. 2,825 opiniones.",41.990
"Ventilador 3 En 1 Winco 18 W118 5 Aspas 1100w Color de la estructura Negro Color de las aspas Gris Diámetro 18 "" Material de las aspas Aluminio","Calificación 4.4 de 5. 8,048 opiniones.",40.099
"Ventilador 3 en 1 Star Trak STP31-18 turbo negro con 5 palas de  metal, 18"" de diámetro 50 Hz/60 Hz 220 V","Calificación 4.3 de 5. 1,651 opiniones.",60.982
Ventilador De Pie Digital 20 Moulinex Ve4081b2 + Control,Calificación 4.6 de 5. 455 opiniones.,119.999
"Ventilador de techo Peabody PE-VTR42 blanco con 3 palas color  transparente de  acrílico, 42"" de diámetro 220 V","Calificación 4.7 de 5. 7,588 opiniones.",199.999
Ventilador Turbo Semi Industrial Exahome 50cm 20 90w Garanti Color de la estructura Negro Color de las aspas Negro,"Calificación 4.5 de 5. 9,913 opiniones.",44.990
"Ventilador 3 en 1 Kanji KJH-FH1209 turbo negro con 3 palas de  metal, 18"" de diámetro 220 V","Calificación 4.4 de 5. 6,175 opiniones.",41.990
"Ventilador De Pared Y De Piso / De Techo Exahome Iv16 Negro Con 5 Palas, 16 De Diámetro 220v","Calificación 4.5 de 5. 2,052 opiniones.",42.990
"Ventilador de techo Codini V5RB blanco con 4 palas de  metal, 110 cm de diámetro 220 V","Calificación 4.6 de 5. 1,063 opiniones.",139.999
Ventilador De Pie De 20 Con Botonera Magiclick Pala Plástica,Calificación 3.8 de 5. 5 opiniones.,75.830
Ventilador De Techo Severbon Vtml 420 Dc Con Luz Led,Calificación 4.4 de 5. 17 opiniones.,185.424
Base Volante Para Ventilador 18 O 20 Pulgadas Repuesto,Calificación 4.5 de 5. 188 opiniones.,8.999
"Ventilador de techo Axel AX-VT4PL blanco con 4 palas de  metal, 1.2 m de diámetro 220 V",Calificación 4.6 de 5. 731 opiniones.,67.599
"Ventilador de pie Peabody PE-VP2060 negro con 3 palas de  plástico, 20"" de diámetro 220 V","Calificación 4.6 de 5. 3,865 opiniones.",69.999
Ventilador Turbo 16 Protalia Vb-16t Alta Potencia,Calificación 4.3 de 5. 186 opiniones.,44.999
Ventilador De Pie Liliana Vpd18r Negro Con 5 Palas 18 220 v Diámetro 18,"Calificación 4.4 de 5. 1,038 opiniones.",47.999
Ventilador Turbo Philco Vtp2023p 20 50w 3 Vel,Calificación 4.7 de 5. 262 opiniones.,62.999
"Ventilador de techo Peabody PE-VTR42 plata con 3 palas color  transparente de  acrílico, 42"" de diámetro 220 V","Calificación 4.7 de 5. 7,588 opiniones.",189.990
Ventilador De Pie 10 Pulgadas Chico Oscilante Winco W1110 Ep Cantidad De Aspas 3 Color De La Estructura Negro Color De Las Aspas Metal Diámetro 10   Frecuencia 50hz Material De Las Aspas Metalicas,Calificación 4.3 de 5. 376 opiniones.,29.899
Turbo Ventilador Kacemaster - 10 - 3 Vel - 3 Aspas - 45 W Color de la estructura Negro Color de las aspas Gris Diámetro 25 cm Frecuencia 50 Material de las aspas Plástico,Calificación 4.6 de 5. 475 opiniones.,31.140
"Ventilador de pie Liliana VP20P negro con 5 palas de  plástico, 20"" de diámetro 220 V",Calificación 4.5 de 5. 788 opiniones.,67.990
Brisador Eco Power Peabody De 16'' De 30 Watts PE-VPDC1625N,Calificación 4.7 de 5. 111 opiniones.,149.999
"Ventilador de pared y de piso/de techo Exahome IV12 negro con 5 palas, 12"" de diámetro 220 V","Calificación 4.5 de 5. 1,470 opiniones.",35.988
"Ventilador de pared y de piso Liliana VTF16P turbo negro con 5 palas, 16"" de diámetro 220 V","Calificación 4.6 de 5. 6,201 opiniones.",53.199
Ventilador Turbo Philco Vtp1623p 16 50w 3 Vel,Calificación 4.7 de 5. 523 opiniones.,57.999
"Ventilador de techo Axel AX-VT4SL blanco con 4 palas de  metal, 1.2 m de diámetro 220 V",Calificación 4.4 de 5. 578 opiniones.,65.345
"Ventilador de piso Magiclick BMT20P turbo negro con 5 palas de  plástico, 20"" de diámetro 220 V","Calificación 4.5 de 5. 2,345 opiniones.",36.929
"Ventilador de techo Liliana VTHI503 blanco con 3 palas de  metal, 1.4 m de diámetro 220 V - 240 V",Calificación 4.5 de 5. 335 opiniones.,85.999
Ventilador Retráctil Techo C Remoto Led Peabody Pevtra420b Cantidad de aspas 3 Color de la estructura Blanco Diámetro 106 cm Material de las aspas Plástico,Calificación 4.8 de 5. 666 opiniones.,184.999
Ventilador Turbo De Mesa Winco 16  3 Aspas 55 W Oscilante,Calificación 4.5 de 5. 819 opiniones.,35.299
"Ventilador 3 en 1 Exahome V31 turbo gris con 5 palas de  aluminio, 18"" de diámetro 220 V","Calificación 4.5 de 5. 2,235 opiniones.",51.588
Ventilador De Pie Peabody 20´´ Vp2062 Con Control Remoto Cantidad de aspas 3 Estructura Negro Aspas Negro Diámetro 25 cm Material de las aspas Plástico,Calificación 4.7 de 5. 810 opiniones.,54.318
"Ventilador de pared y de pie Kanji KJH-FI3017 negro con 3 palas de  plástico, 30"" de diámetro 220 V",Calificación 4.5 de 5. 398 opiniones.,108.790
"Ventilador 3 en 1 Embassy FE-18B turbo plateado con 5 palas de  metal, 18"" de diámetro 220 V",Calificación 4.5 de 5. 638 opiniones.,54.798
Ventilador De Pie Peabody Pe-vp250 Palas De Metal 20 130w Cantidad de aspas 3 Color de la estructura Plata Color de las aspas Plata Diámetro 20,"Calificación 4.7 de 5. 2,811 opiniones.",114.062
Ventilador de techo Winco W1342 negro 220 V,Calificación 4.8 de 5. 200 opiniones.,179.999
Ventilador De Pie Liliana Vprn18 Orbital con Repeler,"Calificación 4.6 de 5. 2,955 opiniones.",55.999
Ventilador De Pared 16 Soporte Axel Reja Metalica - Oscila Color de la estructura Negro Color de las aspas Acrilico,Calificación 4.4 de 5. 104 opiniones.,42.831
Ventilador Turbo Protalia Climatización Vb20t - 5 Aspas plasticas,Calificación 4.5 de 5. 438 opiniones.,63.999
"Ventilador de piso Axel AX-TV16 turbo blanco con 5 palas color  gris, 16"" de diámetro 220 V",Calificación 4.4 de 5. 107 opiniones.,57.099
Ventilador Semi Industrial Turbo 20 Silencioso Magiclick Cantidad de aspas 5 Color de la estructura Negro Color de las aspas Negro Diámetro 52 cm Material de las aspas PVC,"Calificación 4.5 de 5. 1,079 opiniones.",39.990
"Ventilador de pared Axel AX-PAR24 negro con 2 palas de  metal, 24"" de diámetro 220 V",Calificación 3.4 de 5. 98 opiniones.,78.018
Turbo Ventilador 12 Potente Dakota 70w Reclinable Silencioso Cantidad De Aspas 3 Color De La Estructura Negro Color De Las Aspas Negro Diámetro 30 Cm Frecuencia 50 Material De Las Aspas Plástico,Calificación 4.7 de 5. 87 opiniones.,58.281
"Ventilador de techo Axel AX-VT4AR blanco con 4 palas de  metal, 1.2 m de diámetro 220 V",Calificación 4.5 de 5. 821 opiniones.,94.999
"Ventilador de pie Peabody PE-BR500 Blanco con 7 palas 16"" de diámetro 220V","Calificación 4.8 de 5. 1,293 opiniones.",169.999
"Ventilador De Pie Peabody Pe-vi260m 26 Diametro, 3 Vel, 200w Color de la estructura Negro Color de las aspas Negro Diámetro 26 "" Material de las aspas Aluminio",Calificación 4.7 de 5. 347 opiniones.,229.999
Ventilador De Pie Liliana 20 - Aspas Metálicas,"Calificación 4.5 de 5. 2,346 opiniones.",49.999
"Ventilador de pared Embassy FP-30P negro con 3 palas, 30"" de diámetro 220 V",Calificación 4.4 de 5. 57 opiniones.,99.987
"Ventilador de pie Liliana VPD20R negro con 3 palas color  plateado de  metal, 20"" de diámetro 220 V","Calificación 4.6 de 5. 1,641 opiniones.",149.799
"Ventilador de pie Peabody PE-VI300 negro con 3 palas de  aluminio, 30"" de diámetro 220 V",Calificación 4.6 de 5. 215 opiniones.,249.999
"Ventilador de mesa/de pie Delhi dl-10 turbo negro con 3 palas color  plateado de  metal, 10"" de diámetro 220 V",Calificación 4.5 de 5. 209 opiniones.,38.999
Ventilador De Pared 20  Liliana Vwc2016 Metal Control Remoto,Calificación 4.4 de 5. 18 opiniones.,80.099
Ventilador De Pie 20 Semi Industrial Paletas Metálicas Ofert,Calificación 4.2 de 5. 150 opiniones.,59.990
2x Ventilador Semi Industrial Turbo 50cm Grande 90w Oferta Exahome,Calificación 4.5 de 5. 475 opiniones.,89.990
Ventilador De Techo Protalia 3419 Aspas Reversibles Nogal y Negro Natural,Calificación 4.1 de 5. 131 opiniones.,169.999
Ventilador De Pie 20 Pulgadas Moulinex 6 Aspas Ve4080b2,Calificación 4.5 de 5. 778 opiniones.,84.999
"Ventilador Hytoshy,3 En 1 De Pie, Turbo, Pared 3 Velocidades Color De La Estructura Negro Frecuencia 50 Cantidad De Aspas 5 Color De Las Aspas Metal Diámetro 50 Cm Material De Las Aspas Aluminio",Calificación 4.3 de 5. 252 opiniones.,39.000
"Ventilador 3 en 1 Tower T-251 negro con 5 palas color  plateado de  metal, 18"" de diámetro 220 V","Calificación 4.4 de 5. 1,385 opiniones.",46.533
Ventilador De Pie Liliana Vprn20 20 - Orbital Con Repeler,"Calificación 4.6 de 5. 1,925 opiniones.",47.999
Ventilador Techo Liliana Vtha604 4 Palas 6 Velocidades Led Color de la estructura Plateado Color de las aspas Blanco Diámetro 106 cm,Calificación 4.6 de 5. 356 opiniones.,279.999
Turbo Ventilador Color Piso Iv12 35 W 5 Palas Indelplas,Calificación 4.9 de 5. 42 opiniones.,44.492
Ventilador 3 En 1 Pie Pared Aspas Metalicas 10 Pulgada,Calificación 3.8 de 5. 14 opiniones.,37.483
Ventilador Recargable A Pila D 7v Silencioso Y Potente,Calificación 3.6 de 5. 18 opiniones.,8.288
"Ventilador de techo Liliana VTHB114 blanco con 4 palas de  metal, 48"" de diámetro 220 V - 240 V","Calificación 4.5 de 5. 1,943 opiniones.",119.999
Ventilador De Pie Peabody Pe-vp2061 3 Velocidades 60w Color de la estructura Negro Color de las aspas Negro,Calificación 4.6 de 5. 928 opiniones.,108.499
"Turbo Ventilador Industrial Kacemaster - 20"" - 100w - Bajo Consumo",Calificación 4.5 de 5. 908 opiniones.,43.800
"Ventilador de pie Liliana VPC18M turbo negro con 3 palas color  plateado de  metal, 18"" de diámetro 220 V",Calificación 4.5 de 5. 506 opiniones.,104.999
Ventilador De Techo Peabody Pe-vtra420s Inoxidable LUZ: Fría/Blanca cálida/Amarilla cálida,Calificación 4.8 de 5. 158 opiniones.,174.999
"Ventilador de pared y de piso Indelplas IV12 turbo negro con 5 palas de  plástico, 12"" de diámetro 50Hz 220 V","Calificación 4.6 de 5. 4,876 opiniones.",34.990
Ventilador 3 En 1 Boher Ven-fh2111 Negro 3 Palas De Metal 18 De Diámetro 220v,"Calificación 4.5 de 5. 1,082 opiniones.",40.999
Ventilador Industrial Kanji 30¨ 200 Watts De Pie,Calificación 4.6 de 5. 133 opiniones.,91.874
"Ventilador De Techo Liliana Vthb104 48 220 v-240 v Cantidad de aspas 4 Color de la estructura Blanco Color de las aspas Blanco Diámetro 48 "" Material de las aspas Metal",Calificación 4.5 de 5. 678 opiniones.,114.699
Ventilador Daihatsu Dtech43w Techo Diseño Retractil Cantidad de aspas 4 Color de la estructura Gris Color de las aspas Trasparente Diámetro 120 cm Material de las aspas Acrílico,Calificación 4.8 de 5. 102 opiniones.,154.944
"Ventilador de techo Exahome 600 negro con 4 palas de  metal, 120 cm de diámetro 220 V",Calificación 4.7 de 5. 21 opiniones.,119.986
Turbo Ventilador Indelplas 12 Diseño Vintage Potente,Calificación 4.5 de 5. 194 opiniones.,27.462
Ventilador De Techo Protalia 3418 Metalico 220V,Calificación 4.3 de 5. 490 opiniones.,155.999
"Ventilador De Pie Liliana 20  Vp20p 90w 220v Cantidad de aspas 5 Color de la estructura Negro Color de las aspas Negro Diámetro 20 "" Material de las aspas Plástico","Calificación 4.5 de 5. 2,016 opiniones.",48.025
"Ventilador de mesa Liliana VSOC16 negro con 3 palas color transparente de plástico, 16"" de diámetro 220 V",Calificación 4.6 de 5. 460 opiniones.,42.253
Ventilador Turbo 16 Metálico A Batería Peabody Diámetro 40.64 Cm,Calificación 4.7 de 5. 6 opiniones.,327.969
Ventilador De Pie Philco Vpp2023p 20'' 85w 3 Vel,Calificación 4.8 de 5. 20 opiniones.,89.999
"Ventilador De Piso Liliana Vtc12 Turbo Blanco 220 v Cantidad de aspas 5 Color de las aspas Transparente Diámetro 12 "" Material de las aspas Plástico","Calificación 4.5 de 5. 1,388 opiniones.",40.999
Ventilador 3 En 1 Pektra 5 Aspas 18 Pulgadas 90w Pie Pared,Calificación 4.6 de 5. 25 opiniones.,52.999
Turbo Ventilador Indelplas 12' Vintage 3 Vel Silencioso D1,Calificación 4.5 de 5. 194 opiniones.,39.999
Ventilador De Techo Protalia 3419r Haya Y Blanco Natural,Calificación 4.1 de 5. 131 opiniones.,179.999
"Ventilador 3 en 1 Suzika SZ-VEN5005 rosa con 3 palas color  plateado de  aluminio, 10"" de diámetro 220 V","Calificación 4.5 de 5. 1,176 opiniones.",34.999
Ventilador De Pie Philco 20'' 85w Vpp2021n,"Calificación 4.7 de 5. 1,553 opiniones.",61.728
"Ventilador de pared Liliana VWOC20 plata con 3 palas color  transparente de  plástico, 20"" de diámetro 220 V",Calificación 4.4 de 5. 540 opiniones.,60.999
"Ventilador 3 en 1 Kudu KU-SFPI18A turbo azul con 3 palas de  metal, 18"" de diámetro 50 Hz 220 V",Calificación 4.4 de 5. 14 opiniones.,42.999
"Ventilador de pie Alpaca ALP-M-16 negro con 3 palas de  metal, 16"" de diámetro 220 V",Calificación 4.4 de 5. 201 opiniones.,99.999
"Ventilador Turbo 20'' Daihatsu Dvt2021rep 5 Palas Negro Color de las aspas Gris Diámetro 20 "" Material de las aspas Plástico",Calificación 4.4 de 5. 545 opiniones.,41.750
"Ventilador de pared Axel AX-PAR26 negro con 2 palas de  metal, 26"" de diámetro 220 V",Calificación 4.7 de 5. 66 opiniones.,107.439
"Ventilador de piso y de pared Embassy TY-2010 turbo con 3 palas color  plateado de  metal, 20 cm de diámetro 220 V",Calificación 4.2 de 5. 123 opiniones.,47.598
Ventilador De Pie Vpwb20 20 90w 3 Velocidades Whitenblack Color de la estructura Negro Color de las aspas Negro Diámetro 20 cm Frecuencia 50/60Hz Material de las aspas Plástico,Calificación 4.5 de 5. 96 opiniones.,72.843
Ventilador Turbo 3 En 1 Tdesign Grande Bajo Consumo Piso Pared Pie,Calificación 4.4 de 5. 313 opiniones.,39.999
"Ventilador de pared Axel AX-PAR30 negro con 2 palas color  plateado de  metal, 30"" de diámetro 220 V",Calificación 4.3 de 5. 113 opiniones.,156.599
Ventilador Pie 16pp Palas Metal 3 Aspas 75w Alpaca,Calificación 4 de 5. 9 opiniones.,99.999
Ventilador De Techo Axel Blanco Con Luz Led 4 Palas 5 Vel Diámetro 120 cm Material de las aspas Chapa,Calificación 3.9 de 5. 48 opiniones.,88.718
"Ventilador ventilador de techo Auvent Oro con Luz V3041 dorado con 4 palas de  madera, 120 cm de diámetro 50 Hz 220 V",Calificación 4.4 de 5. 71 opiniones.,164.000
"Turbo Ventilador Kacemaster - 16 - 3 Vel - 5 Aspas - 60w Color de la estructura Negro Color de las aspas Negro Diámetro 16 "" Frecuencia 50 Hz/60 Hz Material de las aspas Plástico",Calificación 4.6 de 5. 560 opiniones.,34.335
"Ventilador de piso Liliana VTFM20 turbo gris con 3 palas color  plateado de  metal, 20"" de diámetro 220 V",Calificación 4.2 de 5. 632 opiniones.,72.086
Ventilador De Pie Axel Axpie20ble 20 Pulgadas Cantidad de aspas 3 Color de la estructura Blanco Diámetro 50 cm Material de las aspas Plástico,Calificación 4 de 5. 73 opiniones.,46.967
"Ventilador de piso Axel AX-TUR20 turbo blanco con 3 palas color  plateado de  metal, 20"" de diámetro 220 V",Calificación 4.3 de 5. 120 opiniones.,59.399
Ventilador De Techo Blanco 5 Velocidades Philco Vtep5619n,Calificación 4.6 de 5. 897 opiniones.,87.999
"Ventilador 3 en 1 Embassy FY-18A turbo negro con 5 palas color  plateado de  metal, 18"" de diámetro 220 V","Calificación 4.4 de 5. 1,141 opiniones.",54.798
"Ventilador 3 en 1 Star Trak STP31-10 rosa con 3 palas color  celeste de  acero, 10"" de diámetro 220 V",Calificación 4.5 de 5. 222 opiniones.,32.772
Ventilador 10 Pulgadas Tower T256 3 En 1  Aspa Metal Colores,Calificación 3.9 de 5. 102 opiniones.,29.999
Ventilador De Techo Severbon Vta 420 Negro Microtex. Con Luz,Calificación 5 de 5. 4 opiniones.,148.088
Ventilador De Pared 20  Liliana Vwc2016 Metal Control Remoto,Calificación 4.4 de 5. 18 opiniones.,80.099
Ventilador Turbo Philco Vtp2021n 20 50w 3 Vel,Calificación 4.7 de 5. 277 opiniones.,49.999
"Ventilador 3 en 1 Suzika SZ-VEN5005 azul con 3 palas color  plateado de  aluminio, 10"" de diámetro 220 V","Calificación 4.5 de 5. 1,176 opiniones.",34.999
Ventilador Frío Mini Aire Acondicionado Portátil Usb Color de la estructura Blanco Color de las aspas Negro Material de las aspas Plástico,Calificación 3.4 de 5. 673 opiniones.,25.999
"Ventilador de techo Exahome 600 negro con 4 palas de  metal, 120 cm de diámetro 220 V",Calificación 4.7 de 5. 21 opiniones.,119.986
Ventilador 3 En 1 De Pie Turbo Pared 3 Aspas,Calificación 4.3 de 5. 56 opiniones.,38.999
"Ventilador 3 en 1 Suzika SZ-VEN5005 negro con 3 palas color  plateado de  aluminio, 10"" de diámetro 220 V","Calificación 4.5 de 5. 1,176 opiniones.",34.489
Base Volante Para Ventilador 18 O 20 Pulgadas Repuesto,Calificación 4.5 de 5. 188 opiniones.,8.999
Ventilador Exahome 3 En 1 Pie Pared Turbo Ind. Argentina,Calificación 4.4 de 5. 545 opiniones.,51.588
Ventilador 3 En 1 Pie Piso Mesada Pared 18 Pulgada Osilante,Calificación 4.6 de 5. 32 opiniones.,43.990
Ventilador de Mesa 12 pulgadas Protalia Vd-16m Color de estructura Negro,Calificación 4.8 de 5. 151 opiniones.,75.999
Ventilador De Mesa Retro 12 pulgadas Protalia Vd-16m,Calificación 4.8 de 5. 151 opiniones.,75.999
"Ventilador 3 en 1 Star Trak STP31-10 rosa con 3 palas color  celeste de  acero, 10"" de diámetro 220 V",Calificación 4.5 de 5. 222 opiniones.,32.772
Ventilador De Pie 20 Pulgadas Yelmo Vt-3820 Aspas Metal 100w,Calificación 4.5 de 5. 345 opiniones.,94.999
Turboventilador Reclinable Liliana Vtf18p 18 Pulgadas,"Calificación 4.5 de 5. 4,136 opiniones.",49.699
Ventilador 3 en 1 Pie Turbo Pared 18 Pulgadas Eiffel E-518 90w de potencia real Super Potente  Motor bobinado de cobre  3 Aspas Metalicas Reja Metalica,Calificación 4.2 de 5. 107 opiniones.,47.989
